instrument_id	display_name	category	folder_relpath	sfz_relpath	zones_file	zone_count
aerophones_reed_aerophones_saxello_staccato	Saxello - Staccato	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Saxello	Aerophones/Reed Aerophones/Saxello - Staccato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Saxello/tables/aerophones_reed_aerophones_saxello_staccato.zones.tsv	15
aerophones_reed_aerophones_saxello_vibrato	Saxello - Vibrato	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Saxello	Aerophones/Reed Aerophones/Saxello - Vibrato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Saxello/tables/aerophones_reed_aerophones_saxello_vibrato.zones.tsv	8
aerophones_reed_aerophones_tenor_saxophone_keyswitch	Tenor Saxophone - Keyswitch	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Tenor Saxophone	Aerophones/Reed Aerophones/Tenor Saxophone - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Tenor Saxophone/tables/aerophones_reed_aerophones_tenor_saxophone_keyswitch.zones.tsv	105
aerophones_reed_aerophones_tenor_saxophone_non_vibrato	Tenor Saxophone - Non-Vibrato	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Tenor Saxophone	Aerophones/Reed Aerophones/Tenor Saxophone - Non-Vibrato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Tenor Saxophone/tables/aerophones_reed_aerophones_tenor_saxophone_non_vibrato.zones.tsv	46
aerophones_reed_aerophones_tenor_saxophone_staccato	Tenor Saxophone - Staccato	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Tenor Saxophone	Aerophones/Reed Aerophones/Tenor Saxophone - Staccato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Tenor Saxophone/tables/aerophones_reed_aerophones_tenor_saxophone_staccato.zones.tsv	40
aerophones_reed_aerophones_tenor_saxophone_vibrato	Tenor Saxophone - Vibrato	Aerophones/Reed Aerophones	Aerophones/Reed Aerophones/Tenor Saxophone	Aerophones/Reed Aerophones/Tenor Saxophone - Vibrato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Reed Aerophones/Tenor Saxophone/tables/aerophones_reed_aerophones_tenor_saxophone_vibrato.zones.tsv	19
chordophones_composite_chordophones_concert_harp	Concert Harp	Chordophones/Composite Chordophones	Chordophones/Composite Chordophones/Concert Harp	Chordophones/Composite Chordophones/Concert Harp.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Composite Chordophones/Concert Harp/tables/chordophones_composite_chordophones_concert_harp.zones.tsv	45
chordophones_composite_chordophones_folk_harp	Folk Harp	Chordophones/Composite Chordophones	Chordophones/Composite Chordophones/Folk Harp	Chordophones/Composite Chordophones/Folk Harp.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Composite Chordophones/Folk Harp/tables/chordophones_composite_chordophones_folk_harp.zones.tsv	58
chordophones_composite_chordophones_strumstick	Strumstick	Chordophones/Composite Chordophones	Chordophones/Composite Chordophones/Strumstick	Chordophones/Composite Chordophones/Strumstick.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Composite Chordophones/Strumstick/tables/chordophones_composite_chordophones_strumstick.zones.tsv	57
chordophones_zithers_dan_tranh_fx	Dan Tranh - FX	Chordophones/Zithers	Chordophones/Zithers/Dan Tranh	Chordophones/Zithers/Dan Tranh - FX.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Zithers/Dan Tranh/tables/chordophones_zithers_dan_tranh_fx.zones.tsv	7
chordophones_zithers_dan_tranh_gliss	Dan Tranh - Gliss	Chordophones/Zithers	Chordophones/Zithers/Dan Tranh	Chordophones/Zithers/Dan Tranh - Gliss.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Zithers/Dan Tranh/tables/chordophones_zithers_dan_tranh_gliss.zones.tsv	12
chordophones_zithers_dan_tranh_keyswitch	Dan Tranh - Keyswitch	Chordophones/Zithers	Chordophones/Zithers/Dan Tranh	Chordophones/Zithers/Dan Tranh - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Zithers/Dan Tranh/tables/chordophones_zithers_dan_tranh_keyswitch.zones.tsv	115
chordophones_zithers_dan_tranh_normal	Dan Tranh - Normal	Chordophones/Zithers	Chordophones/Zithers/Dan Tranh	Chordophones/Zithers/Dan Tranh - Normal.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Zithers/Dan Tranh/tables/chordophones_zithers_dan_tranh_normal.zones.tsv	48
chordophones_zithers_dan_tranh_tremolo	Dan Tranh - Tremolo	Chordophones/Zithers	Chordophones/Zithers/Dan Tranh	Chordophones/Zithers/Dan Tranh - Tremolo.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Zithers/Dan Tranh/tables/chordophones_zithers_dan_tranh_tremolo.zones.tsv	16
chordophones_zithers_dan_tranh_vibrato	Dan Tranh - Vibrato	Chordophones/Zithers	Chordophones/Zithers/Dan Tranh	Chordophones/Zithers/Dan Tranh - Vibrato.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Zithers/Dan Tranh/tables/chordophones_zithers_dan_tranh_vibrato.zones.tsv	32
chordophones_zithers_grand_piano_kawai_legacy	Grand Piano, Kawai - Legacy	Chordophones/Zithers	Chordophones/Zithers/Grand Piano, Kawai - Legacy	Chordophones/Zithers/Grand Piano, Kawai - Legacy.sfz	../instruments/VCSL-1.2.2-RC/Chordophones/Zithers/Grand Piano, Kawai - Legacy/tables/chordophones_zithers_grand_piano_kawai_legacy.zones.tsv	126
